                                                                                                                       $                                                           (                                                           )                                                           +                                                           -                                                           ;                                                           =                                                       addop                                                        else                                                     epsilon                                                       float                                                          id                                                          if                                                         int                                                       mulop                                                         num                                                       relop                                                       while                                                           {                                                           }
                                                METHOD_BODY :                                                        synch                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                              STATEMENT_LIST                                              STATEMENT_LIST                                              STATEMENT_LIST                                              STATEMENT_LIST                                                       error                                                       error                                                       error                                              STATEMENT_LIST                                                       error                                                       error
                                             STATEMENT_LIST :                                                        synch                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                    STATEMENTSTATEMENT_LIST~                                    STATEMENTSTATEMENT_LIST~                                    STATEMENTSTATEMENT_LIST~                                    STATEMENTSTATEMENT_LIST~                                                       error                                                       error                                                       error                                    STATEMENTSTATEMENT_LIST~                                                       error                                                       error
                                                  STATEMENT :                                                        synch                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                 DECLARATION                                                 DECLARATION                                                 DECLARATION                                                 DECLARATION                                                       error                                                       error                                                       error                                                 DECLARATION                                                       error                                                       synch
                                                DECLARATION :                                                        synch                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                           PRIMITIVE_TYPEid;                                                       synch                                                       synch                                           PRIMITIVE_TYPEid;                                                       error                                                       error                                                       error                                                       synch                                                       error                                                       synch
                                             PRIMITIVE_TYPE :                                                        error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       float                                                       synch                                                       error                                                         int                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error
                                                         IF :                                                        synch                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       synch                                                       synch                    if(EXPRESSION){STATEMENT}else{STATEMENT}                                                       synch                                                       error                                                       error                                                       error                                                       synch                                                       error                                                       synch
                                                      WHILE :                                                        synch                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       synch                                                       synch                                                       synch                                                       synch                                                       error                                                       error                                                       error                                while(EXPRESSION){STATEMENT}                                                       error                                                       synch
                                                 ASSIGNMENT :                                                        synch                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       synch                                              id=EXPRESSION;                                                       synch                                                       synch                                                       error                                                       error                                                       error                                                       synch                                                       error                                                       synch
                                                 EXPRESSION :                                                        error                                                       error                                                     epsilon                                                       error                                                       error                                                     epsilon                                                       error                                                       error                                                       error                                SIMPLE_EXPRESSIONEXPRESSION*                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error
                                          SIMPLE_EXPRESSION :                                                        error                                                       error                                                     epsilon                                                       error                                                       error                                                     epsilon                                                       error                                                       error                                                       error                                  SIGNTERMSIMPLE_EXPRESSION~                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                     epsilon                                                       error                                                       error                                                       error
                                                       TERM :                                                        error                                                       error                                                     epsilon                                                       error                                                       error                                                     epsilon                                                       error                                                     epsilon                                                       error                                                 FACTORTERM~                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                     epsilon                                                       error                                                       error                                                       error
                                                     FACTOR :                                                        error                                                (EXPRESSION)                                                       synch                                                       error                                                       error                                                       synch                                                       error                                                       synch                                                       error                                                       error                                                       error                                                          id                                                       error                                                       error                                                       synch                                                         num                                                       synch                                                       error                                                       error                                                       error
                                                       SIGN :                                                        error                                                       error                                                       synch                                                           +                                                           -                                                       synch                                                       error                                                       synch                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       synch                                                       error                                                       error                                                       error
                                            STATEMENT_LIST~ :                                                      epsilon                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                     epsilon                                   ASSIGNMENTSTATEMENT_LIST~                                   ASSIGNMENTSTATEMENT_LIST~     if(EXPRESSION){STATEMENT}else{STATEMENT}STATEMENT_LIST~                                   ASSIGNMENTSTATEMENT_LIST~                                                       error                                                       error                                                       error                 while(EXPRESSION){STATEMENT}STATEMENT_LIST~                                                       error                                                       error
                                         SIMPLE_EXPRESSION~ :                                                        error                                                       error                                                     epsilon                                                       error                                                       error                                                     epsilon                                                       error                                 addopTERMSIMPLE_EXPRESSION~                                                       error                                                     epsilon                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                                     epsilon                                                       error                                                       error                                                       error
                                                      TERM~ :                                                        error                                                       error                                                     epsilon                                                       error                                                       error                                                     epsilon                                                       error                                                     epsilon                                                       error                                                     epsilon                                                       error                                                       error                                                       error                                                       error                                            mulopFACTORTERM~                                                       error                                                     epsilon                                                       error                                                       error                                                       error
                                                EXPRESSION* :                                                        error                                                       error                                                     epsilon                                                       error                                                       error                                                     epsilon                                                       error                                                       error                                                       error                                                     epsilon                                                       error                                                       error                                                       error                                                       error                                                       error                                                       error                                      relopSIMPLE_EXPRESSION                                                       error                                                       error                                                       error
